State,Ethnicity,Population
Johor,bumi_malay,2258.7
Johor,bumi_other,60.4
Johor,chinese,1212.4
Johor,indian,247.2
Johor,other_citizen,19.6
Johor,other_noncitizen,387.9
Kedah,bumi_malay,1697.9
Kedah,bumi_other,4.8
Kedah,chinese,247.7
Kedah,indian,128.5
Kedah,other_citizen,25.8
Kedah,other_noncitizen,112.8
Kelantan,bumi_malay,1758.7
Kelantan,bumi_other,22.8
Kelantan,chinese,44.2
Kelantan,indian,4.7
Kelantan,other_citizen,11
Kelantan,other_noncitizen,47.1
Melaka,bumi_malay,684.2
Melaka,bumi_other,9.9
Melaka,chinese,203.4
Melaka,indian,52.5
Melaka,other_citizen,5.3
Melaka,other_noncitizen,91.8
Negeri Sembilan,bumi_malay,727.5
Negeri Sembilan,bumi_other,22.9
Negeri Sembilan,chinese,246
Negeri Sembilan,indian,163.2
Negeri Sembilan,other_citizen,6
Negeri Sembilan,other_noncitizen,74.5
Pahang,bumi_malay,1185.3
Pahang,bumi_other,95.8
Pahang,chinese,219.3
Pahang,indian,55.9
Pahang,other_citizen,9.6
Pahang,other_noncitizen,102.2
Perak,bumi_malay,1420.7
Perak,bumi_other,76
Perak,chinese,630.7
Perak,indian,270.7
Perak,other_citizen,10.9
Perak,other_noncitizen,160.4
Perlis,bumi_malay,252.6
Perlis,bumi_other,1.5
Perlis,chinese,20
Perlis,indian,5.1
Perlis,other_citizen,5.7
Perlis,other_noncitizen,11.9
Pulau Pinang,bumi_malay,735.9
Pulau Pinang,bumi_other,7.2
Pulau Pinang,chinese,711.1
Pulau Pinang,indian,155
Pulau Pinang,other_citizen,10.2
Pulau Pinang,other_noncitizen,181
Sabah,bumi_malay,326.8
Sabah,bumi_other,2077.8
Sabah,chinese,243.5
Sabah,indian,5.9
Sabah,other_citizen,44.8
Sabah,other_noncitizen,1043.4
Sarawak,bumi_malay,603.5
Sarawak,bumi_other,1218
Sarawak,chinese,557.3
Sarawak,indian,5.1
Sarawak,other_citizen,6.6
Sarawak,other_noncitizen,127.7
Selangor,bumi_malay,4002.3
Selangor,bumi_other,85.3
Selangor,chinese,1759.1
Selangor,indian,730.6
Selangor,other_citizen,57.6
Selangor,other_noncitizen,728.6
Terengganu,bumi_malay,1162.3
Terengganu,bumi_other,3.4
Terengganu,chinese,22.7
Terengganu,indian,2.1
Terengganu,other_citizen,2.3
Terengganu,other_noncitizen,39.3
WP K Lumpur,bumi_malay,855.2
WP K Lumpur,bumi_other,20.7
WP K Lumpur,chinese,729.9
WP K Lumpur,indian,176.9
WP K Lumpur,other_citizen,13.5
WP K Lumpur,other_noncitizen,271.3
WP Labuan,bumi_malay,25.2
WP Labuan,bumi_other,51.5
WP Labuan,chinese,9.7
WP Labuan,indian,0.9
WP Labuan,other_citizen,1.4
WP Labuan,other_noncitizen,12.2
WP Putrajaya,bumi_malay,111.5
WP Putrajaya,bumi_other,2.3
WP Putrajaya,chinese,0.6
WP Putrajaya,indian,1.4
WP Putrajaya,other_citizen,0.3
WP Putrajaya,other_noncitizen,4.1
