year,death,birth,natural_increase
2000,100707,537853,437146
2001,104531,505479,400948
2002,110367,494538,384171
2003,112744,481399,368655
2004,113192,481800,368608
2005,115436,474473,359037
2006,117778,472698,354920
2007,120670,479647,358977
2008,127098,493203,366105
2009,131328,501644,370316
2010,130978,491239,360261
2011,135463,511594,376131
2012,138692,526012,387320
2013,142202,503914,361712
2014,150318,528612,378294
2015,155786,521136,365350
2016,162201,508203,346002
2017,168168,508685,340517
2018,172031,501945,329914
2019,174254,489863,315609
2020,166970,471504,304534
2021,224569,439744,215175
2022,206525,423124,216599
