state,district,death,population,"The rates are per 1,000 population"
Johor,Batu Pahat,301,497.5,
Johor,Johor Bahru,1828,1723.7,
Johor,Kluang,254,323.5,
Johor,Kota Tinggi,279,224.9,
Johor,Kulai,279,198.2,
Johor,Mersing,37,329.2,
Johor,Muar,354,79.1,
Johor,Pontian,155,314,
Johor,Segamat,150,173.6,
Johor,Tangkak,204,164.6,
Kedah,Baling,197,144.9,
Kedah,Bandar Baharu,54,44.7,
Kedah,Kota Setar,403,376.8,
Kedah,Kuala Muda,577,550.5,
Kedah,Kubang Pasu,174,249.7,
Kedah,Kulim,427,341.3,
Kedah,Langkawi,51,96.4,
Kedah,Padang Terap,32,66.5,
Kedah,Pendang,84,99.8,
Kedah,Pokok Sena,49,50,
Kedah,Sik,48,68.6,
Kedah,Yan,46,73.8,
Kelantan,Bachok,115,160.7,
Kelantan,Gua Musang,75,104,
Kelantan,Jeli,42,56.1,
Kelantan,Kecil Lojing,15,10.8,
Kelantan,Kota Bharu,323,567.5,
Kelantan,Kuala Krai,90,107.1,
Kelantan,Machang,57,113.9,
Kelantan,Pasir Mas,193,234.2,
Kelantan,Pasir Puteh,160,138.9,
Kelantan,Tanah Merah,86,153.7,
Kelantan,Tumpat,130,183.7,
Melaka,Alor Gajah,215,251.8,
Melaka,Jasin,151,153.9,
Melaka,Melaka Tengah,578,602.8,
Negeri Sembilan,Jelebu,37,46.3,
Negeri Sembilan,Jempol,111,127.6,
Negeri Sembilan,Kuala Pilah,85,70.4,
Negeri Sembilan,Port Dickson,130,130.1,
Negeri Sembilan,Rembau,62,47.8,
Negeri Sembilan,Seremban,814,696.9,
Negeri Sembilan,Tampin,84,88.8,
Pahang,Bentong,92,116.7,
Pahang,Bera,48,98.9,
Pahang,Cameron Highland,16,39.2,
Pahang,Jerantut,44,97,
Pahang,Kuantan,267,557.9,
Pahang,Lipis,33,97.9,
Pahang,Maran,79,114.7,
Pahang,Pekan,33,123.5,
Pahang,Raub,39,96.8,
Pahang,Rompin,32,100.4,
Pahang,Temerloh,119,171.4,
Perak,Bagan Datuk,39,82.3,
Perak,Batang Padang,88,125.7,
Perak,Hilir Perak,187,142.3,
Perak,Hulu Perak,40,95.9,
Perak,Kampar,71,98.2,
Perak,Kerian,118,167.5,
